,RD\VLBI-cwl\steps\Ateamclipper.cwl,RD\VLBI-cwl\steps\aoflagger.cwl,RD\VLBI-cwl\steps\check_ateam_separation.cwl,RD\VLBI-cwl\steps\check_station_mismatch.cwl,RD\VLBI-cwl\steps\clipper.cwl,RD\VLBI-cwl\steps\collect_linc_libraries.cwl,RD\VLBI-cwl\steps\collectfiles.cwl,RD\VLBI-cwl\steps\concatenate_files.cwl,RD\VLBI-cwl\steps\copyST_gains.cwl,RD\VLBI-cwl\steps\copy_model_images.cwl,RD\VLBI-cwl\steps\delay_cal_model.cwl,RD\VLBI-cwl\steps\delay_solve.cwl,RD\VLBI-cwl\steps\download_cats.cwl,RD\VLBI-cwl\steps\dp3_apply_delay.cwl,RD\VLBI-cwl\steps\dp3_applycal.cwl,RD\VLBI-cwl\steps\dp3_applycal_ddf.cwl,RD\VLBI-cwl\steps\dp3_concat.cwl,RD\VLBI-cwl\steps\dp3_make_parset.cwl,RD\VLBI-cwl\steps\dp3_parset.cwl,RD\VLBI-cwl\steps\dp3_phaseup.cwl,RD\VLBI-cwl\steps\dp3_prep_phasediff.cwl,RD\VLBI-cwl\steps\dp3_prep_target.cwl,RD\VLBI-cwl\steps\dp3_prephasediff.cwl,RD\VLBI-cwl\steps\dp3_target_phaseup.cwl,RD\VLBI-cwl\steps\dp3concat.cwl,RD\VLBI-cwl\steps\facet_selfcal.cwl,RD\VLBI-cwl\steps\filter_ms_group.cwl,RD\VLBI-cwl\steps\findRefAnt_join.cwl,RD\VLBI-cwl\steps\fix_symlinks_ddf.cwl,RD\VLBI-cwl\steps\flatten.cwl,RD\VLBI-cwl\steps\flatten_array.cwl,RD\VLBI-cwl\steps\gather_model_images.cwl,RD\VLBI-cwl\steps\gatherdds3.cwl,RD\VLBI-cwl\steps\gatherdis2.cwl,RD\VLBI-cwl\steps\generate_filenames.cwl,RD\VLBI-cwl\steps\generate_parset_split.cwl,RD\VLBI-cwl\steps\get_delay_cal_direction.cwl,RD\VLBI-cwl\steps\get_facet_layout.cwl,RD\VLBI-cwl\steps\get_memory_fraction.cwl,RD\VLBI-cwl\steps\get_phasediff.cwl,RD\VLBI-cwl\steps\get_selection_scores.cwl,RD\VLBI-cwl\steps\make_concat_parsets.cwl,RD\VLBI-cwl\steps\make_mslist.cwl,RD\VLBI-cwl\steps\makebox.cwl,RD\VLBI-cwl\steps\makesourcedb.cwl,RD\VLBI-cwl\steps\order_by_direction.cwl,RD\VLBI-cwl\steps\predict.cwl,RD\VLBI-cwl\steps\predict_facet.cwl,RD\VLBI-cwl\steps\prep_delay.cwl,RD\VLBI-cwl\steps\remove_flagged_stations.cwl,RD\VLBI-cwl\steps\select_best_directions.cwl,RD\VLBI-cwl\steps\sort_concatmap.cwl,RD\VLBI-cwl\steps\split_polygons.cwl,RD\VLBI-cwl\steps\subtract.cwl,RD\VLBI-cwl\steps\subtract_fov.cwl,RD\VLBI-cwl\steps\subtract_fov_wsclean.cwl,RD\VLBI-cwl\steps\summary.cwl,RD\VLBI-cwl\steps\target_phaseup.cwl,RD\VLBI-cwl\steps\target_solve.cwl,RD\VLBI-cwl\steps\template_step.cwl,RD\VLBI-cwl\workflows\AOflagging.cwl,RD\VLBI-cwl\workflows\alternative_workflows\split-directions-toil.cwl,RD\VLBI-cwl\workflows\apply_ddf.cwl,RD\VLBI-cwl\workflows\clipAteam.cwl,RD\VLBI-cwl\workflows\concatenate-flag.cwl,RD\VLBI-cwl\workflows\concatenation.cwl,RD\VLBI-cwl\workflows\delay-calibration.cwl,RD\VLBI-cwl\workflows\facet_subtract.cwl,RD\VLBI-cwl\workflows\facet_subtract_old.cwl,RD\VLBI-cwl\workflows\lotss_subtract.cwl,RD\VLBI-cwl\workflows\phaseup-concat.cwl,RD\VLBI-cwl\workflows\process-ddf.cwl,RD\VLBI-cwl\workflows\process_ddf.cwl,RD\VLBI-cwl\workflows\setup.cwl,RD\VLBI-cwl\workflows\sort-concat.cwl,RD\VLBI-cwl\workflows\split-directions.cwl,RD\VLBI-cwl\workflows\subworkflows\clip_A-team.cwl,RD\VLBI-cwl\workflows\subworkflows\concatenation.cwl,RD\VLBI-cwl\workflows\subworkflows\ddcal_pre_selection.cwl,RD\VLBI-cwl\workflows\subworkflows\predictAteam.cwl,RD\VLBI-cwl\workflows\subworkflows\prep_target.cwl,RD\VLBI-cwl\workflows\subworkflows\scatter-AOflagging.cwl,RD\VLBI-cwl\workflows\subworkflows\sort-concatenate.cwl,RD\VLBI-cwl\workflows\subworkflows\split_parset.cwl,RD\VLBI-cwl\workflows\subworkflows\subtract_lotss.cwl,RD\VLBI-cwl\workflows\summary.cwl,RD\VLBI-cwl\workflows\template.cwl,RD\VLBI-cwl\workflows\workflow_subtract.cwl
RD\VLBI-cwl\steps\Ateamclipper.cwl,100.0,50.0,60.0,20.0,8.333333333333332,20.0,10.0,20.0,10.0,0.0,14.285714285714285,21.428571428571427,18.181818181818183,7.142857142857142,10.0,0.0,17.647058823529413,7.6923076923076925,0.0,11.11111111111111,0.0,23.076923076923077,0.0,0.0,0.0,0.0,9.090909090909092,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,75.0,0.0,12.5,0.0,0.0,27.27272727272727,0.0,0.0,0.0,0.0,20.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,27.27272727272727,0.0,9.803921568627452,0.0,0.0,0.0,24.137931034482758,0.0,0.0,35.0,0.0,0.0,41.17647058823529,17.647058823529413,0.0,9.090909090909092,10.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0
RD\VLBI-cwl\steps\aoflagger.cwl,50.0,100.0,54.54545454545454,18.181818181818183,0.0,18.181818181818183,9.090909090909092,18.181818181818183,9.090909090909092,0.0,13.333333333333334,20.0,16.666666666666664,14.285714285714285,9.090909090909092,0.0,23.52941176470588,7.142857142857142,0.0,16.666666666666664,0.0,21.428571428571427,0.0,0.0,0.0,0.0,8.333333333333332,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,57.14285714285714,0.0,11.76470588235294,0.0,0.0,26.08695652173913,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,8.333333333333332,8.333333333333332,0.0,0.0,0.0,31.818181818181817,0.0,14.000000000000002,0.0,0.0,0.0,23.333333333333332,0.0,0.0,33.33333333333333,0.0,0.0,31.57894736842105,20.588235294117645,0.0,8.333333333333332,9.090909090909092,8.333333333333332,0.0,0.0,0.0,0.0,8.333333333333332,0.0
RD\VLBI-cwl\steps\check_ateam_separation.cwl,60.0,54.54545454545454,100.0,33.33333333333333,0.0,33.33333333333333,16.666666666666664,33.33333333333333,16.666666666666664,0.0,20.0,18.181818181818183,12.5,10.0,16.666666666666664,0.0,14.285714285714285,11.11111111111111,0.0,14.285714285714285,0.0,20.0,0.0,0.0,0.0,0.0,14.285714285714285,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,54.54545454545454,0.0,16.666666666666664,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,33.33333333333333,0.0,8.333333333333332,0.0,0.0,0.0,23.076923076923077,0.0,0.0,35.294117647058826,0.0,0.0,42.857142857142854,20.0,0.0,14.285714285714285,16.666666666666664,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0
RD\VLBI-cwl\steps\check_station_mismatch.cwl,20.0,18.181818181818183,33.33333333333333,100.0,0.0,0.0,50.0,100.0,50.0,0.0,33.33333333333333,28.57142857142857,25.0,16.666666666666664,50.0,0.0,20.0,20.0,0.0,20.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,18.181818181818183,0.0,25.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,11.11111111111111,0.0,4.3478260869565215,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,11.76470588235294,0.0,0.0,14.285714285714285,6.666666666666667,0.0,33.33333333333333,50.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0
RD\VLBI-cwl\steps\clipper.cwl,8.333333333333332,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD\VLBI-cwl\steps\collect_linc_libraries.cwl,20.0,18.181818181818183,33.33333333333333,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,11.76470588235294,0.0,0.0,14.285714285714285,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD\VLBI-cwl\steps\collectfiles.cwl,10.0,9.090909090909092,16.666666666666664,50.0,0.0,0.0,100.0,50.0,100.0,0.0,16.666666666666664,14.285714285714285,0.0,0.0,100.0,0.0,10.0,25.0,0.0,10.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,12.5,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,2.1739130434782608,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,5.88235294117647,0.0,0.0,7.142857142857142,3.3333333333333335,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD\VLBI-cwl\steps\concatenate_files.cwl,20.0,18.181818181818183,33.33333333333333,100.0,0.0,0.0,50.0,100.0,50.0,0.0,33.33333333333333,28.57142857142857,25.0,16.666666666666664,50.0,0.0,20.0,20.0,0.0,20.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,33.33333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,18.181818181818183,0.0,25.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,100.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,11.11111111111111,0.0,4.3478260869565215,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,11.76470588235294,0.0,0.0,14.285714285714285,6.666666666666667,0.0,33.33333333333333,50.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0
RD\VLBI-cwl\steps\copyST_gains.cwl,10.0,9.090909090909092,16.666666666666664,50.0,0.0,0.0,100.0,50.0,100.0,0.0,16.666666666666664,14.285714285714285,0.0,0.0,100.0,0.0,10.0,25.0,0.0,10.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,12.5,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,2.1739130434782608,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,5.88235294117647,0.0,0.0,7.142857142857142,3.3333333333333335,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD\VLBI-cwl\steps\copy_model_images.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD\VLBI-cwl\steps\delay_cal_model.cwl,14.285714285714285,13.333333333333334,20.0,33.33333333333333,0.0,0.0,16.666666666666664,33.33333333333333,16.666666666666664,0.0,100.0,44.44444444444444,12.5,10.0,16.666666666666664,0.0,14.285714285714285,11.11111111111111,0.0,14.285714285714285,0.0,20.0,0.0,0.0,0.0,0.0,14.285714285714285,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,13.333333333333334,0.0,16.666666666666664,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,9.090909090909092,0.0,8.333333333333332,0.0,0.0,0.0,23.076923076923077,0.0,0.0,9.523809523809524,0.0,0.0,11.11111111111111,5.88235294117647,0.0,14.285714285714285,16.666666666666664,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0
RD\VLBI-cwl\steps\delay_solve.cwl,21.428571428571427,20.0,18.181818181818183,28.57142857142857,0.0,0.0,14.285714285714285,28.57142857142857,14.285714285714285,0.0,44.44444444444444,100.0,25.0,33.33333333333333,14.285714285714285,0.0,21.428571428571427,10.0,0.0,13.333333333333334,0.0,30.0,0.0,0.0,0.0,0.0,12.5,28.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,20.0,0.0,15.384615384615385,0.0,0.0,8.695652173913043,0.0,0.0,0.0,0.0,28.57142857142857,0.0,0.0,12.5,0.0,0.0,0.0,0.0,8.695652173913043,0.0,15.217391304347828,0.0,0.0,0.0,26.923076923076923,0.0,0.0,14.285714285714285,0.0,0.0,10.526315789473683,5.714285714285714,0.0,12.5,14.285714285714285,0.0,0.0,0.0,0.0,0.0,12.5,0.0
RD\VLBI-cwl\steps\download_cats.cwl,18.181818181818183,16.666666666666664,12.5,25.0,0.0,0.0,0.0,25.0,0.0,0.0,12.5,25.0,100.0,14.285714285714285,0.0,0.0,18.181818181818183,0.0,0.0,8.333333333333332,0.0,28.57142857142857,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,16.666666666666664,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,5.0,0.0,6.521739130434782,0.0,0.0,0.0,7.4074074074074066,0.0,0.0,17.647058823529413,0.0,0.0,6.25,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0
RD\VLBI-cwl\steps\dp3_apply_delay.cwl,7.142857142857142,14.285714285714285,10.0,16.666666666666664,0.0,0.0,0.0,16.666666666666664,0.0,0.0,10.0,33.33333333333333,14.285714285714285,100.0,0.0,0.0,15.384615384615385,0.0,0.0,15.384615384615385,0.0,10.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,14.285714285714285,0.0,8.333333333333332,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,4.545454545454546,0.0,6.25,0.0,0.0,0.0,14.814814814814813,0.0,0.0,4.761904761904762,0.0,0.0,5.555555555555555,2.941176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0
RD\VLBI-cwl\steps\dp3_applycal.cwl,10.0,9.090909090909092,16.666666666666664,50.0,0.0,0.0,100.0,50.0,100.0,0.0,16.666666666666664,14.285714285714285,0.0,0.0,100.0,0.0,10.0,25.0,0.0,10.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,12.5,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,2.1739130434782608,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,5.88235294117647,0.0,0.0,7.142857142857142,3.3333333333333335,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
