,RD\LINC\steps\Ateamclipper.cwl,RD\LINC\steps\H5ParmCollector.cwl,RD\LINC\steps\LoSoTo.ClockTec.cwl,RD\LINC\steps\LoSoTo.Duplicate.cwl,RD\LINC\steps\LoSoTo.Faraday.cwl,RD\LINC\steps\LoSoTo.Flag.cwl,RD\LINC\steps\LoSoTo.FlagStation.cwl,RD\LINC\steps\LoSoTo.Flagextend.cwl,RD\LINC\steps\LoSoTo.Interpolate.cwl,RD\LINC\steps\LoSoTo.Norm.cwl,RD\LINC\steps\LoSoTo.Plot.cwl,RD\LINC\steps\LoSoTo.Polalign.cwl,RD\LINC\steps\LoSoTo.Replicate.cwl,RD\LINC\steps\LoSoTo.Reset.cwl,RD\LINC\steps\LoSoTo.Residual.cwl,RD\LINC\steps\LoSoTo.Reweight.cwl,RD\LINC\steps\LoSoTo.Structure.cwl,RD\LINC\steps\add_missing_stations.cwl,RD\LINC\steps\applybeam.cwl,RD\LINC\steps\applycal.cwl,RD\LINC\steps\blsmooth.cwl,RD\LINC\steps\chunk_ms.cwl,RD\LINC\steps\compare_station_list.cwl,RD\LINC\steps\concatenate_files.cwl,RD\LINC\steps\createRMh5parm.cwl,RD\LINC\steps\ddecal.cwl,RD\LINC\steps\ddecal_array.cwl,RD\LINC\steps\dp3_addcol.cwl,RD\LINC\steps\dp3_make_parset_cal.cwl,RD\LINC\steps\dp3_make_parset_target.cwl,RD\LINC\steps\dp3concat.cwl,RD\LINC\steps\filter_ms_group.cwl,RD\LINC\steps\filter_predict.cwl,RD\LINC\steps\gaincal.cwl,RD\LINC\steps\get_targetname.cwl,RD\LINC\steps\mslin2circ.cwl,RD\LINC\steps\plot_Ateamclipper.cwl,RD\LINC\steps\predict.cwl,RD\LINC\steps\sort_times_into_freqGroups.cwl,RD\LINC\steps\taql.cwl,RD\LINC\steps\taql_copy.cwl,RD\LINC\steps\wsclean.cwl,RD\LINC\steps\wsclean_predict.cwl,RD\LINC\workflows\HBA_calibrator.cwl,RD\LINC\workflows\HBA_target.cwl,RD\LINC\workflows\LBA_calibrator.cwl,RD\LINC\workflows\LBA_target.cwl,RD\LINC\workflows\linc_calibrator.cwl,RD\LINC\workflows\linc_calibrator\apply_calibrate_bp.cwl,RD\LINC\workflows\linc_calibrator\apply_calibrate_fr.cwl,RD\LINC\workflows\linc_calibrator\apply_calibrate_pa.cwl,RD\LINC\workflows\linc_calibrator\apply_pa.cwl,RD\LINC\workflows\linc_calibrator\faraday_rotation.cwl,RD\LINC\workflows\linc_calibrator\fr.cwl,RD\LINC\workflows\linc_calibrator\pa.cwl,RD\LINC\workflows\linc_calibrator\predict_calibrate.cwl,RD\LINC\workflows\linc_calibrator\prep.cwl,RD\LINC\workflows\linc_calibrator\prep_fr.cwl,RD\LINC\workflows\linc_target.cwl,RD\LINC\workflows\linc_target\amplitude.cwl,RD\LINC\workflows\linc_target\apply_calibrate_tec.cwl,RD\LINC\workflows\linc_target\calib_targ.cwl,RD\LINC\workflows\linc_target\concat.cwl,RD\LINC\workflows\linc_target\dp3_prep_targ.cwl,RD\LINC\workflows\linc_target\finalize.cwl,RD\LINC\workflows\linc_target\fr.cwl,RD\LINC\workflows\linc_target\gsmcal.cwl,RD\LINC\workflows\linc_target\imaging_subtract.cwl,RD\LINC\workflows\linc_target\predict_calibrate_fr.cwl,RD\LINC\workflows\linc_target\prep.cwl,RD\LINC\workflows\linc_target\selfcal_targ.cwl,RD\LINC\workflows\linc_target\selfcal_targ_hba.cwl,RD\LINC\workflows\linc_target\selfcal_targ_lba.cwl,RD\LINC\workflows\linc_target\split_into_chunks.cwl,RD\LINC\workflows\linc_target\tec_and_amp.cwl
RD\LINC\workflows\linc_calibrator\apply_calibrate_pa.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,50.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,3.7037037037037033,0.0,12.5,0.0,33.33333333333333,9.090909090909092,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.7037037037037033,25.0,33.33333333333333,7.142857142857142,0.0,1.2345679012345678,0.0,0.0,0.0,0.0,3.571428571428571,11.11111111111111,0.0,10.0
RD\LINC\workflows\linc_calibrator\apply_pa.cwl,0.0,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,66.66666666666666,0.0,0.0,61.53846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.833333333333336,0.0,0.0,0.0,0.0,9.090909090909092,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,37.5,0.0,42.857142857142854,0.0,100.0,33.33333333333333,42.857142857142854,22.22222222222222,0.0,0.0,57.14285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,24.0,0.0,0.0,0.0,50.0,0.0,0.0
RD\LINC\workflows\linc_calibrator\faraday_rotation.cwl,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,47.05882352941176,0.0,0.0,0.0,6.666666666666667,0.0,6.666666666666667,0.0,0.0,7.4074074074074066,0.0,0.0,16.9811320754717,11.11111111111111,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,42.857142857142854,5.0,30.0,11.11111111111111,50.0,0.0,33.33333333333333,100.0,50.0,20.408163265306122,13.333333333333334,14.285714285714285,30.0,2.7027027027027026,0.0,4.0,0.0,0.0,0.0,0.0,50.0,0.5714285714285714,0.0,25.0,0.0,2.5,0.0,37.5,0.0,4.545454545454546
RD\LINC\workflows\linc_calibrator\fr.cwl,0.0,0.0,0.0,0.0,35.294117647058826,0.0,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,0.0,57.14285714285714,0.0,42.857142857142854,0.0,42.857142857142854,50.0,100.0,22.22222222222222,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,24.0,0.0,0.0,0.0,50.0,0.0,0.0
RD\LINC\workflows\linc_calibrator\pa.cwl,0.0,0.0,0.0,0.0,20.833333333333336,0.0,0.0,0.0,0.0,0.0,17.02127659574468,0.0,0.0,21.73913043478261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,32.857142857142854,10.869565217391305,0.0,0.0,0.0,15.686274509803921,4.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,13.333333333333334,0.0,26.666666666666668,8.51063829787234,19.565217391304348,0.0,22.22222222222222,20.408163265306122,22.22222222222222,100.0,6.666666666666667,4.444444444444445,21.27659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.909090909090908,0.0,0.0,10.0,0.0,0.0,1.4084507042253522,12.76595744680851,0.0,0.0
RD\LINC\workflows\linc_calibrator\predict_calibrate.cwl,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,6.25,50.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,30.0,0.0,0.0,13.333333333333334,0.0,6.666666666666667,100.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0
RD\LINC\workflows\linc_calibrator\prep.cwl,0.0,0.0,0.0,0.0,15.384615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333333333333334,0.0,0.0,4.166666666666666,33.33333333333333,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,20.0,0.0,0.0,14.285714285714285,0.0,4.444444444444445,66.66666666666666,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD\LINC\workflows\linc_calibrator\prep_fr.cwl,0.0,0.0,0.0,0.0,31.57894736842105,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,35.294117647058826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.384615384615385,0.0,0.0,0.0,0.0,8.333333333333332,16.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,0.0,33.33333333333333,0.0,37.5,0.0,57.14285714285714,30.0,37.5,21.27659574468085,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.27272727272727,0.0,0.0,22.22222222222222,0.0,0.0,0.0,42.857142857142854,0.0,0.0
RD\LINC\workflows\linc_target.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.166666666666666,4.0,0.0,3.7037037037037033,0.0,0.0,4.166666666666666,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.166666666666666,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,0.0,3.225806451612903,0.0,0.0,47.05882352941176,0.0,10.714285714285714,0.0,3.4482758620689653,0.0,4.0,0.0,2.7027027027027026,0.0,0.0,0.0,0.0,0.0,100.0,0.0,5.88235294117647,6.382978723404255,3.8461538461538463,4.0,12.121212121212121,5.263157894736842,8.13953488372093,0.0,4.651162790697675,4.166666666666666,6.25,6.25,3.225806451612903,7.6923076923076925,6.451612903225806
RD\LINC\workflows\linc_target\amplitude.cwl,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,0.0,0.0,0.0,10.0
RD\LINC\workflows\linc_target\apply_calibrate_tec.cwl,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,16.666666666666664,7.6923076923076925,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,7.6923076923076925,100.0,5.555555555555555,0.0,0.0,0.0,7.6923076923076925,2.3529411764705883,0.0,22.22222222222222,0.0,18.181818181818183,0.0,0.0,0.0,16.666666666666664
RD\LINC\workflows\linc_target\calib_targ.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,3.8461538461538463,3.571428571428571,0.0,0.0,3.7037037037037033,3.8461538461538463,0.0,0.0,0.0,3.571428571428571,0.0,0.0,0.0,3.0303030303030303,0.0,0.0,4.0,0.0,6.451612903225806,0.0,3.225806451612903,0.0,3.7037037037037033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.382978723404255,0.0,5.555555555555555,100.0,7.4074074074074066,3.7037037037037033,5.405405405405405,0.0,6.214689265536723,0.0,4.444444444444445,0.0,1.9230769230769231,3.9215686274509802,3.0303030303030303,0.0,0.0
RD\LINC\workflows\linc_target\concat.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,4.081632653061225,0.0,0.0,33.33333333333333,20.0,0.0,0.0,25.0,33.33333333333333,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,3.571428571428571,0.0,11.11111111111111,0.0,12.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,7.4074074074074066,100.0,25.0,14.285714285714285,0.0,1.2269938650306749,0.0,0.0,0.0,0.0,7.142857142857142,10.0,0.0,0.0
RD\LINC\workflows\linc_target\dp3_prep_targ.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0408163265306123,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,50.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,3.7037037037037033,0.0,12.5,0.0,14.285714285714285,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.7037037037037033,25.0,100.0,15.384615384615385,0.0,0.6134969325153374,0.0,0.0,0.0,0.0,3.571428571428571,11.11111111111111,0.0,0.0
RD\LINC\workflows\linc_target\finalize.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,7.6923076923076925,0.0,0.0,6.25,0.0,0.0,0.0,3.389830508474576,0.0,0.0,7.6923076923076925,6.666666666666667,0.0,0.0,7.142857142857142,7.6923076923076925,0.0,0.0,0.0,6.666666666666667,7.6923076923076925,0.0,0.0,5.0,0.0,0.0,5.405405405405405,0.0,5.263157894736842,0.0,5.555555555555555,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.121212121212121,0.0,0.0,5.405405405405405,14.285714285714285,15.384615384615385,100.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,8.108108108108109,5.0,21.428571428571427,0.0
RD\LINC\workflows\linc_target\fr.cwl,0.0,0.0,0.0,0.0,31.818181818181817,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,28.57142857142857,0.0,0.0,0.0,5.88235294117647,0.0,5.88235294117647,0.0,0.0,0.0,0.0,0.0,16.363636363636363,0.0,0.0,0.0,11.76470588235294,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,37.5,4.545454545454546,27.27272727272727,0.0,30.0,0.0,30.0,50.0,30.0,10.909090909090908,0.0,0.0,27.27272727272727,5.263157894736842,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,100.0,2.2988505747126435,0.0,37.03703703703704,0.0,10.256410256410255,2.380952380952381,33.33333333333333,0.0,8.695652173913043
RD\LINC\workflows\linc_target\gsmcal.cwl,0.6172839506172839,0.6134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,1.2345679012345678,0.6172839506172839,0.6134969325153374,0.6134969325153374,0.0,0.0,0.6172839506172839,0.0,6.598984771573605,0.5988023952095809,0.0,0.6172839506172839,1.8518518518518516,0.0,0.0,1.2345679012345678,0.6172839506172839,0.0,2.4691358024691357,0.6172839506172839,1.8518518518518516,0.6172839506172839,0.0,0.0,2.4096385542168677,0.0,0.0,9.941520467836257,0.0,1.8072289156626504,0.0,1.2048192771084338,0.5847953216374269,1.2345679012345678,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,8.13953488372093,0.0,2.3529411764705883,6.214689265536723,1.2269938650306749,0.6134969325153374,4.166666666666666,2.2988505747126435,100.0,0.0,2.2346368715083798,0.0,6.179775280898876,6.179775280898876,0.591715976331361,0.0,1.183431952662722
RD\LINC\workflows\linc_target\imaging_subtract.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,33.33333333333333,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RD\LINC\workflows\linc_target\predict_calibrate_fr.cwl,0.0,0.0,0.0,0.0,21.428571428571427,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,23.076923076923077,0.0,0.0,0.0,4.545454545454546,0.0,4.545454545454546,4.545454545454546,0.0,5.88235294117647,0.0,0.0,21.052631578947366,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,8.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57142857142857,0.0,28.57142857142857,3.7037037037037033,22.22222222222222,0.0,24.0,0.0,24.0,25.0,24.0,10.0,0.0,0.0,22.22222222222222,4.651162790697675,0.0,22.22222222222222,4.444444444444445,0.0,0.0,0.0,37.03703703703704,2.2346368715083798,0.0,100.0,0.0,23.076923076923077,0.0,31.818181818181817,0.0,7.142857142857142
RD\LINC\workflows\linc_target\prep.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8461538461538463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
RD\LINC\workflows\linc_target\selfcal_targ.cwl,0.0,3.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.225806451612903,0.0,0.0,3.125,0.0,0.0,0.0,0.0,3.571428571428571,0.0,3.571428571428571,3.571428571428571,0.0,7.6923076923076925,0.0,0.0,19.047619047619047,0.0,10.714285714285714,0.0,7.142857142857142,0.0,0.0,0.0,0.0,0.0,14.814814814814813,0.0,7.142857142857142,0.0,10.714285714285714,0.0,0.0,0.0,0.0,1.9230769230769231,0.0,6.25,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,6.25,3.571428571428571,18.181818181818183,1.9230769230769231,0.0,0.0,0.0,10.256410256410255,6.179775280898876,0.0,23.076923076923077,0.0,100.0,0.0,0.0,0.0,12.5
RD\LINC\workflows\linc_target\selfcal_targ_hba.cwl,3.7037037037037033,3.571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,3.571428571428571,3.7037037037037033,0.0,0.0,0.0,0.0,3.7037037037037033,0.0,5.633802816901409,6.451612903225806,0.0,3.7037037037037033,3.4482758620689653,0.0,0.0,7.4074074074074066,3.7037037037037033,0.0,0.0,3.7037037037037033,3.4482758620689653,0.0,0.0,0.0,2.941176470588235,0.0,0.0,10.416666666666668,0.0,3.0303030303030303,0.0,3.125,2.7777777777777777,3.571428571428571,0.0,0.0,0.0,1.4084507042253522,3.4482758620689653,0.0,0.0,6.25,0.0,0.0,3.9215686274509802,7.142857142857142,3.571428571428571,8.108108108108109,2.380952380952381,6.179775280898876,0.0,0.0,0.0,0.0,100.0,2.941176470588235,0.0,0.0
RD\LINC\workflows\linc_target\selfcal_targ_lba.cwl,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,63.63636363636363,0.0,0.0,46.15384615384615,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,14.285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,12.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.666666666666667,0.0,75.0,3.0303030303030303,75.0,7.142857142857142,42.857142857142854,7.6923076923076925,50.0,11.11111111111111,50.0,37.5,50.0,12.76595744680851,0.0,0.0,42.857142857142854,3.225806451612903,0.0,0.0,3.0303030303030303,10.0,11.11111111111111,5.0,33.33333333333333,0.591715976331361,0.0,31.818181818181817,0.0,0.0,2.941176470588235,100.0,0.0,0.0
RD\LINC\workflows\linc_target\split_into_chunks.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4482758620689653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,0.0,0.0,0.0,21.428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
RD\LINC\workflows\linc_target\tec_and_amp.cwl,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6923076923076925,0.0,0.0,7.142857142857142,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.6363636363636362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,7.142857142857142,5.555555555555555,10.0,0.0,4.545454545454546,0.0,0.0,0.0,0.0,0.0,6.451612903225806,10.0,16.666666666666664,0.0,0.0,0.0,0.0,8.695652173913043,1.183431952662722,0.0,7.142857142857142,0.0,12.5,0.0,0.0,0.0,100.0
