,steps\Ateamclipper.cwl,steps\H5ParmCollector.cwl,steps\LoSoTo.Faraday.cwl,steps\LoSoTo.Plot.cwl,steps\LoSoTo.Reset.cwl,steps\add_missing_stations.cwl,steps\compare_station_list.cwl,steps\concatenate_files.cwl,steps\ddecal.cwl,steps\ddecal_array.cwl,steps\dp3concat.cwl,steps\filter_ms_group.cwl,steps\filter_predict.cwl,steps\plot_Ateamclipper.cwl,workflows\HBA_calibrator.cwl,workflows\HBA_target.cwl,workflows\LBA_calibrator.cwl,workflows\LBA_target.cwl,workflows\linc_calibrator.cwl,workflows\linc_calibrator\apply_calibrate_bp.cwl,workflows\linc_calibrator\apply_calibrate_fr.cwl,workflows\linc_calibrator\apply_pa.cwl,workflows\linc_calibrator\faraday_rotation.cwl,workflows\linc_calibrator\fr.cwl,workflows\linc_calibrator\pa.cwl,workflows\linc_calibrator\predict_calibrate.cwl,workflows\linc_calibrator\prep.cwl,workflows\linc_calibrator\prep_fr.cwl,workflows\linc_target.cwl,workflows\linc_target\apply_calibrate_tec.cwl,workflows\linc_target\calib_targ.cwl,workflows\linc_target\finalize.cwl,workflows\linc_target\fr.cwl,workflows\linc_target\gsmcal.cwl,workflows\linc_target\predict_calibrate_fr.cwl,workflows\linc_target\selfcal_targ_hba.cwl,workflows\linc_target\selfcal_targ_lba.cwl
steps\Ateamclipper.cwl,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.07142857142857142,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.0
steps\H5ParmCollector.cwl,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.07142857142857142,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.0
steps\LoSoTo.Faraday.cwl,0.0,0.0,0.0,0.8,1.0,0.0,0.2,0.0,0.35714285714285715,0.125,0.09090909090909091,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.375,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.21739130434782608,0.16666666666666666,0.2,0.375,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.5,0.0,0.6
steps\LoSoTo.Plot.cwl,0.0,0.0,0.8,0.0,0.8,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.42857142857142855,0.0,0.5,0.8,0.42857142857142855,0.5,0.17391304347826086,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.0,0.75
steps\LoSoTo.Reset.cwl,0.0,0.0,1.0,0.8,0.0,0.0,0.2,0.0,0.35714285714285715,0.125,0.09090909090909091,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.375,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5714285714285714,0.42857142857142855,0.21739130434782608,0.16666666666666666,0.2,0.375,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.5,0.0,0.6
steps\add_missing_stations.cwl,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.07142857142857142,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.0
steps\compare_station_list.cwl,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.07142857142857142,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.16666666666666666,0.0,0.043478260869565216,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steps\concatenate_files.cwl,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07142857142857142,0.25,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.0
steps\ddecal.cwl,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.2857142857142857,0.16666666666666666,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.0,0.21428571428571427,0.0,0.3333333333333333,0.14285714285714285,0.35714285714285715,0.35714285714285715,0.25,0.1875,0.48,0.14285714285714285,0.07142857142857142,0.25,0.0,0.0,0.0,0.0,0.1875,0.058823529411764705,0.2,0.1111111111111111,0.21428571428571427
steps\ddecal_array.cwl,0.25,0.25,0.125,0.0,0.125,0.25,0.25,0.25,0.2857142857142857,0.0,0.1,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.2857142857142857,0.0,0.1111111111111111,0.0,0.125,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.25,0.0
steps\dp3concat.cwl,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.14285714285714285,0.0,0.16666666666666666,0.1,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.09090909090909091,0.09090909090909091,0.08333333333333333,0.0,0.15384615384615385,0.125,0.14285714285714285,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steps\filter_ms_group.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.043478260869565216,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steps\filter_predict.cwl,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.07142857142857142,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.0
steps\plot_Ateamclipper.cwl,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.07142857142857142,0.25,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.0
workflows\HBA_calibrator.cwl,0.0,0.0,0.6,0.75,0.6,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.6,0.6,0.5,0.6,0.13043478260869565,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.75,0.0,1.0
workflows\HBA_target.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.14285714285714285,0.0
workflows\LBA_calibrator.cwl,0.0,0.0,0.6,0.75,0.6,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.6,0.6,0.5,0.6,0.13043478260869565,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.75,0.0,1.0
workflows\LBA_target.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workflows\linc_calibrator.cwl,0.0,0.0,0.375,0.42857142857142855,0.375,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.375,0.375,0.3333333333333333,0.5714285714285714,0.2608695652173913,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.375,0.0,0.42857142857142855,0.0,0.5
workflows\linc_calibrator\apply_calibrate_bp.cwl,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.0,0.14285714285714285,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.14285714285714285,0.0,0.08695652173913043,0.3333333333333333,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workflows\linc_calibrator\apply_calibrate_fr.cwl,0.0,0.0,0.6666666666666666,0.5,0.6666666666666666,0.0,0.2,0.0,0.35714285714285715,0.2857142857142857,0.09090909090909091,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.375,0.16666666666666666,0.0,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.21739130434782608,0.4,0.2,0.375,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.5,0.1,0.6
workflows\linc_calibrator\apply_pa.cwl,0.0,0.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.0,0.0,0.35714285714285715,0.0,0.09090909090909091,0.2,0.0,0.0,0.6,0.0,0.6,0.0,0.375,0.0,0.42857142857142855,0.0,0.375,0.42857142857142855,0.21739130434782608,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.5,0.0,0.6
workflows\linc_calibrator\faraday_rotation.cwl,0.0,0.0,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.0,0.16666666666666666,0.0,0.25,0.1111111111111111,0.08333333333333333,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.14285714285714285,0.5714285714285714,0.375,0.0,0.5714285714285714,0.20833333333333334,0.14285714285714285,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,0.5
workflows\linc_calibrator\fr.cwl,0.0,0.0,0.42857142857142855,0.5,0.42857142857142855,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.5714285714285714,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.21739130434782608,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.5,0.0,0.6
workflows\linc_calibrator\pa.cwl,0.0,0.0,0.21739130434782608,0.17391304347826086,0.21739130434782608,0.0,0.043478260869565216,0.0,0.48,0.125,0.15384615384615385,0.043478260869565216,0.0,0.0,0.13043478260869565,0.0,0.13043478260869565,0.0,0.2608695652173913,0.08695652173913043,0.21739130434782608,0.21739130434782608,0.20833333333333334,0.21739130434782608,0.0,0.08695652173913043,0.043478260869565216,0.20833333333333334,0.0,0.0,0.0,0.0,0.12,0.0,0.125,0.03571428571428571,0.13043478260869565
workflows\linc_calibrator\predict_calibrate.cwl,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.5,0.0,0.14285714285714285,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.4,0.0,0.14285714285714285,0.0,0.08695652173913043,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0
workflows\linc_calibrator\prep.cwl,0.0,0.0,0.2,0.0,0.2,0.0,1.0,0.0,0.07142857142857142,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.16666666666666666,0.0,0.043478260869565216,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workflows\linc_calibrator\prep_fr.cwl,0.0,0.0,0.375,0.42857142857142855,0.375,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,0.5,0.0,0.3333333333333333,0.0,0.375,0.5714285714285714,0.3333333333333333,0.375,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.42857142857142855,0.0,0.5
workflows\linc_target.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.14285714285714285,0.0
workflows\linc_target\apply_calibrate_tec.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.0,0.0
workflows\linc_target\calib_targ.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
workflows\linc_target\finalize.cwl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.16666666666666666,0.0
workflows\linc_target\fr.cwl,0.0,0.0,0.42857142857142855,0.5,0.42857142857142855,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.6,0.0,0.375,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.12,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.6
workflows\linc_target\gsmcal.cwl,0.25,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.058823529411764705,0.14285714285714285,0.0,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0
workflows\linc_target\predict_calibrate_fr.cwl,0.0,0.0,0.5,0.6,0.5,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.0,0.42857142857142855,0.0,0.5,0.5,0.42857142857142855,0.5,0.125,0.0,0.0,0.42857142857142855,0.0,0.25,0.25,0.0,0.5,0.0,0.0,0.0,0.75
workflows\linc_target\selfcal_targ_hba.cwl,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.1111111111111111,0.25,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.03571428571428571,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.16666666666666666,0.0,0.25,0.0,0.0,0.0
workflows\linc_target\selfcal_targ_lba.cwl,0.0,0.0,0.6,0.75,0.6,0.0,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.0,0.6,0.6,0.5,0.6,0.13043478260869565,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.6,0.0,0.75,0.0,0.0
